Summary,Issue Type,Priority,Labels,Milestone,Description,Acceptance Criteria
"[Epic] Phase 0 — Infrastructure",Epic,P1-high,"type:epic,phase:0-infra",v0.0.1 — Foundation,"Repository setup, CI/CD, tooling configuration. Zero features, zero business logic.",All tooling configured and CI passes on empty skeleton
"[Task] Initialize root composer.json with monorepo config",Task,P1-high,"type:task,phase:0-infra,pkg:core",v0.0.1 — Foundation,"Create root composer.json with type:project. Configure path repositories for all packages. Set minimum-stability, PHP requirement, and scripts.",composer install succeeds with all package paths resolved
"[Task] Create root package.json and PNPM workspace config",Task,P1-high,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Create root package.json, pnpm-workspace.yaml pointing to apps/* and packages/ui/*. Configure PNPM as package manager.","pnpm install succeeds, workspaces resolve correctly"
"[Task] Configure Turborepo for monorepo orchestration",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create turbo.json with build, test, lint, and analyze pipelines. Configure proper dependency graph between tasks.","turbo run test runs all packages in correct order"
"[Task] Create Makefile with common commands",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create Makefile with targets: install, test, test-php, test-frontend, lint, lint-php, lint-frontend, analyze, format, format-php, format-frontend, build, clean, help","make help shows all targets, each target runs correctly"
"[Task] Create .gitignore for monorepo",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Cover: vendor/, node_modules/, .env, .idea/, .vscode/ (except settings), dist/, build/, coverage/, .phpunit.result.cache, .phpstan/, *.cache",No build artifacts or IDE files tracked
"[Task] Create .editorconfig",Task,P3-low,"type:chore,phase:0-infra",v0.0.1 — Foundation,"Configure indent style (spaces), indent size (4 for PHP, 2 for TS/JSON/YAML), charset (utf-8), end_of_line (lf), trim_trailing_whitespace, insert_final_newline",EditorConfig applies correctly in VS Code
"[Task] Create LICENSE file (MIT)",Task,P3-low,"type:chore,phase:0-infra",v0.0.1 — Foundation,"MIT license with current year and project name",LICENSE exists at repo root
"[Task] Create initial README.md",Task,P2-medium,"type:docs,phase:0-infra",v0.0.1 — Foundation,"Minimal README: project name, one-line description, 'Under Development' badge, tech stack list, license. Will expand later.",README.md exists with basic project info
"[Task] Configure Laravel Pint (PER preset)",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create pint.json at root with PER Coding Style 2.0 preset. Add rules for trailing commas, blank line before return, import ordering.","vendor/bin/pint --test runs without config errors"
"[Task] Configure PHPStan (level max)",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create phpstan.neon.dist at root. Set level: max. Configure paths for all packages/*/src. Create baseline if needed.","vendor/bin/phpstan analyse runs without config errors"
"[Task] Configure Rector for PHP 8.3",Task,P2-medium,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create rector.php with PHP 8.3 target. Add quality rules: readonly properties, constructor promotion, match expressions.","vendor/bin/rector process --dry-run runs without errors"
"[Task] Configure Pest testing framework",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Install Pest. Create phpunit.xml.dist with test suites per package. Create root Pest.php config.","vendor/bin/pest runs (0 tests, 0 assertions OK)"
"[Task] Create contracts package skeleton",Task,P1-high,"type:task,phase:0-infra,pkg:contracts",v0.0.1 — Foundation,"Create packages/contracts/ with composer.json (codeatlas/contracts), PSR-4 autoload for CodeAtlas\Contracts\, src/ and tests/ directories, Pest.php, README.md","Namespace resolves, Pest runs in package"
"[Task] Create core package skeleton",Task,P1-high,"type:task,phase:0-infra,pkg:core",v0.0.1 — Foundation,"Create packages/core/ with composer.json (codeatlas/core, requires codeatlas/contracts), PSR-4 autoload for CodeAtlas\Core\, src/ and tests/ directories","Namespace resolves, Pest runs in package"
"[Task] Create scanner package skeleton",Task,P1-high,"type:task,phase:0-infra,pkg:scanner",v0.0.1 — Foundation,"Create packages/scanner/ with composer.json (codeatlas/scanner, requires contracts + core), PSR-4 autoload for CodeAtlas\Scanner\","Namespace resolves, Pest runs in package"
"[Task] Create Laravel bridge package skeleton",Task,P1-high,"type:task,phase:0-infra,pkg:laravel",v0.0.1 — Foundation,"Create packages/laravel/ with composer.json (codeatlas/laravel, requires core + scanner + laravel/framework), config stub, PSR-4 autoload for CodeAtlas\Laravel\","Namespace resolves, Pest runs in package"
"[Task] Create route analyzer package skeleton",Task,P1-high,"type:task,phase:0-infra,pkg:analyzer-routes",v0.0.1 — Foundation,"Create packages/analyzers/routes/ with composer.json (codeatlas/analyzer-routes, requires contracts + core), PSR-4 autoload for CodeAtlas\Analyzers\Routes\","Namespace resolves, Pest runs in package"
"[Task] Create JSON exporter package skeleton",Task,P1-high,"type:task,phase:0-infra,pkg:exporter-json",v0.0.1 — Foundation,"Create packages/exporters/json/ with composer.json (codeatlas/exporter-json, requires contracts + core), PSR-4 autoload for CodeAtlas\Exporters\Json\","Namespace resolves, Pest runs in package"
"[Task] Initialize React + TypeScript frontend with Vite",Task,P1-high,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Create apps/web/ via Vite. Configure React, TypeScript strict mode, path aliases. Create minimal App.tsx shell.","pnpm dev starts, pnpm build succeeds, TypeScript strict enabled"
"[Task] Install and configure Tailwind CSS",Task,P1-high,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Install Tailwind CSS 4 in apps/web/. Configure content paths. Add CSS variables from UI_GUIDELINES.md. Verify utility classes work.",Tailwind classes render correctly in dev server
"[Task] Install and configure shadcn/ui",Task,P1-high,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Initialize shadcn/ui with custom theme matching UI_GUIDELINES.md colors. Install base components: Button, Input, Card, Dialog, DropdownMenu.",shadcn components render with correct theming
"[Task] Install React Flow",Task,P1-high,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Install @xyflow/react. Create placeholder GraphCanvas component with basic React Flow instance. Verify zoom/pan work.",React Flow canvas renders with zoom and pan
"[Task] Install Monaco Editor",Task,P2-medium,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Install @monaco-editor/react. Create placeholder CodePreview component. Configure PHP syntax highlighting.",Monaco editor renders and shows PHP syntax highlighting
"[Task] Install TanStack Query",Task,P1-high,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Install @tanstack/react-query. Set up QueryClientProvider in App.tsx. Create placeholder useAnalysis hook.",QueryClientProvider wraps app
"[Task] Install and configure Zustand",Task,P1-high,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Install zustand. Create graphStore and uiStore skeletons with typed interfaces.",Stores are importable with correct TypeScript types
"[Task] Configure ESLint with strict TypeScript rules",Task,P1-high,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Configure ESLint with @typescript-eslint, react-hooks, no-any rule. Add import ordering rules.","pnpm lint passes on skeleton code"
"[Task] Configure Prettier",Task,P2-medium,"type:task,phase:0-infra,pkg:ui",v0.0.1 — Foundation,"Create .prettierrc with: semi, singleQuote, trailingComma all, tabWidth 2, printWidth 100.",Prettier formats consistently
"[Task] Create CI workflow — PHP pipeline",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create .github/workflows/ci.yml. Matrix: PHP 8.3 + 8.4. Steps: checkout, setup-php, composer install, pint --test, phpstan, pest.",CI runs on push to main and PRs
"[Task] Create CI workflow — Frontend pipeline",Task,P1-high,"type:task,phase:0-infra",v0.0.1 — Foundation,"Add frontend steps to CI: setup-node 20, pnpm install, eslint, vitest, vite build.",Frontend CI runs and passes
"[Task] Create GitHub Issue Templates",Task,P2-medium,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create .github/ISSUE_TEMPLATE/ with bug.yml, feature.yml, task.yml. Create PULL_REQUEST_TEMPLATE.md.",Templates render correctly on GitHub
"[Task] Configure Husky + lint-staged",Task,P2-medium,"type:task,phase:0-infra",v0.0.1 — Foundation,"Install Husky. Configure pre-commit: run Pint on staged .php files, ESLint on staged .ts/.tsx files via lint-staged.",Committing triggers auto-format on staged files
"[Task] Configure Commitlint",Task,P2-medium,"type:task,phase:0-infra",v0.0.1 — Foundation,"Install commitlint with conventional commit config. Configure Husky commit-msg hook.",Non-conventional commit messages are rejected
"[Task] Configure Release Please",Task,P3-low,"type:task,phase:0-infra",v0.0.1 — Foundation,"Create .github/workflows/release.yml with release-please-action. Configure for monorepo with per-package changelogs.",Release PR is auto-created on conventional commits to main
"[Task] Create CHANGELOG.md",Task,P3-low,"type:docs,phase:0-infra",v0.0.1 — Foundation,"Create empty CHANGELOG.md following Keep a Changelog format. Will be auto-updated by Release Please.",CHANGELOG.md exists at root
"[Epic] Phase 1 — Contracts Package",Epic,P1-high,"type:epic,phase:1-core",v0.1.0 — First Light,"All interfaces, enums, value objects, and exception classes that define the public API. Zero-dependency package.",Every other package can implement these contracts
"[Task] Implement AnalyzerInterface",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create AnalyzerInterface with methods: name(): string, supportedNodeTypes(): array, analyze(ProjectContext): AnalysisResult","Interface exists, PHPStan passes, documented with PHPDoc"
"[Task] Implement ScannerInterface",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create ScannerInterface with method: scan(string $path, ?ScanConfig $config): ProjectContext","Interface exists, PHPStan passes, documented with PHPDoc"
"[Task] Implement ExporterInterface",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create ExporterInterface with methods: name(): string, export(AnalysisResult, ExportConfig): ExportOutput","Interface exists, PHPStan passes, documented with PHPDoc"
"[Task] Implement ParserInterface",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create ParserInterface for AST abstraction: parse(string $filePath): ParsedFile, parseString(string $code): ParsedFile","Interface exists, PHPStan passes"
"[Task] Implement NodeInterface",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create NodeInterface: id(): string, type(): NodeType, label(): string, metadata(): array, file(): ?FileReference","Interface exists, PHPStan passes"
"[Task] Implement EdgeInterface",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create EdgeInterface: id(): string, source(): string, target(): string, type(): EdgeType, label(): ?string","Interface exists, PHPStan passes"
"[Task] Implement GraphInterface",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create GraphInterface: nodes(): array, edges(): array, addNode(NodeInterface), addEdge(EdgeInterface), merge(GraphInterface)","Interface exists, PHPStan passes"
"[Task] Implement PluginInterface",Task,P2-medium,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create PluginInterface: register(ContainerInterface): void. Used by analyzers and exporters to register themselves.","Interface exists, PHPStan passes"
"[Task] Implement ConfigInterface",Task,P2-medium,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create ConfigInterface: get(string $key, mixed $default): mixed, has(string $key): bool, all(): array","Interface exists, PHPStan passes"
"[Task] Create NodeType enum",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create NodeType backed enum with cases: Route, Controller, ControllerMethod, Middleware, MiddlewareGroup, Service, Repository, Model, ModelRelationship, Event, Listener, Job, Notification, Policy, PolicyMethod, Command, ScheduleEntry, Migration, Factory, Seeder, Provider, Config, View","Enum exists with all cases, PHPStan passes"
"[Task] Create EdgeType enum",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create EdgeType backed enum with cases: RoutesTo, Calls, DependsOn, Extends, Implements, UsesTrait, UsesMiddleware, HasRelationship, Dispatches, ListensTo, Queues, Notifies, Authorizes, Schedules, Migrates","Enum exists with all cases, PHPStan passes"
"[Task] Create FileType enum",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create FileType backed enum with cases: Route, Controller, Middleware, Service, Repository, Model, Event, Listener, Job, Notification, Policy, Command, Migration, Factory, Seeder, Provider, Config, View, Other","Enum exists, PHPStan passes"
"[Task] Create Severity enum",Task,P2-medium,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create Severity backed enum with cases: Error, Warning, Info, Debug","Enum exists, PHPStan passes"
"[Task] Implement ProjectContext value object",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create readonly class ProjectContext with: name, path, framework, frameworkVersion, phpVersion, files (FileReference[]), filesOfType(FileType): array. Include static fromPath() factory.","Class exists, readonly, tests pass, PHPStan passes"
"[Task] Implement AnalysisResult value object",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create readonly class AnalysisResult with: analyzer (string), nodes (NodeInterface[]), edges (EdgeInterface[]), metadata (array), errors (AnalysisError[]). Include merge() method.","Class exists, readonly, tests pass, PHPStan passes"
"[Task] Implement FileReference value object",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create readonly class FileReference with: path, absolutePath, type (FileType), lineStart, lineEnd. Include relativeTo(string $basePath) method.","Class exists, readonly, tests pass"
"[Task] Implement Node value object",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create readonly class Node implementing NodeInterface with: id, type, label, group, file, metadata, tags. Include toArray() and fromArray() methods.","Class exists, implements NodeInterface, tests pass"
"[Task] Implement Edge value object",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create readonly class Edge implementing EdgeInterface with: id, source, target, type, label, metadata. Include toArray() and fromArray() methods.","Class exists, implements EdgeInterface, tests pass"
"[Task] Implement Graph value object",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create class Graph implementing GraphInterface. Supports addNode(), addEdge(), merge(). Prevents duplicate IDs. Include toArray() method.","Class exists, implements GraphInterface, merge works, tests pass"
"[Task] Create exception hierarchy",Task,P1-high,"type:task,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Create base CodeAtlasException. Create: ScannerException, ParserException, AnalyzerException, ExporterException, ConfigurationException, PluginException. Each with static factory methods.","All exception classes exist, extend base, have named constructors"
"[Task] Write comprehensive tests for all contracts",Task,P1-high,"type:test,phase:1-core,pkg:contracts",v0.1.0 — First Light,"Test all value objects (construction, toArray, fromArray, edge cases). Test enums (all cases exist, backed values). Test Graph (add, merge, duplicates). 100% coverage target.","All tests pass, coverage > 95%"
"[Epic] Phase 1 — Core Package",Epic,P1-high,"type:epic,phase:1-core",v0.1.0 — First Light,"Engine implementation: container, config, plugin loader, event bus, logger, pipeline runner, parser wrapper.",Core is fully functional and tested
"[Task] Implement minimal DI Container",Task,P1-high,"type:task,phase:1-core,pkg:core",v0.1.0 — First Light,"Create Container class. Support: bind(), singleton(), factory(), make(), has(), tagged(). Use PHP reflection for auto-resolution. No Laravel/Symfony dependency.","Container resolves classes, singletons work, tagged bindings work, tests pass"
"[Task] Implement Configuration loader",Task,P1-high,"type:task,phase:1-core,pkg:core",v0.1.0 — First Light,"Create Config class implementing ConfigInterface. Support: load from array, load from PHP file, merge configs, dot-notation access (config.scanner.paths).","Config loads, merges, dot-notation works, tests pass"
"[Task] Implement Plugin Loader",Task,P1-high,"type:task,phase:1-core,pkg:core",v0.1.0 — First Light,"Create PluginLoader that auto-discovers classes implementing PluginInterface via Composer classmap or explicit registration. Registers analyzers and exporters into Container.","Plugins are discovered and registered, tests pass"
"[Task] Implement Event Bus",Task,P2-medium,"type:task,phase:1-core,pkg:core",v0.1.0 — First Light,"Create EventBus with: listen(string $event, callable $handler), dispatch(string $event, mixed $payload). Sync only, in-process. Events: scan.started, scan.completed, analysis.started, analysis.completed, analysis.error.","Events dispatch correctly, listeners fire, tests pass"
"[Task] Implement Logger (PSR-3 wrapper)",Task,P2-medium,"type:task,phase:1-core,pkg:core",v0.1.0 — First Light,"Create Logger implementing PSR-3 LoggerInterface. Support: file output, console output, configurable level. Default: stderr.","Logger writes to file and console, levels filter correctly, tests pass"
"[Task] Implement Pipeline Runner",Task,P1-high,"type:task,phase:1-core,pkg:core",v0.1.0 — First Light,"Create PipelineRunner that orchestrates: Scanner → Analyzers → Exporters. Accepts config to select which analyzers to run. Merges all AnalysisResults into a single Graph. Dispatches events at each stage.","Pipeline runs end-to-end, results merge correctly, events fire, tests pass"
"[Task] Implement Parser wrapper (nikic/php-parser)",Task,P1-high,"type:task,phase:1-core,pkg:core",v0.1.0 — First Light,"Create PhpParser implementing ParserInterface. Wrap nikic/php-parser v5. Return ParsedFile DTO with AST + helper methods (getClasses, getMethods, getUseStatements, getNamespace). Cache AST by file hash.","Parser returns typed DTOs, caching works, malformed files return errors not crashes, tests pass"
"[Task] Implement DTO factory",Task,P2-medium,"type:task,phase:1-core,pkg:core",v0.1.0 — First Light,"Create DtoFactory for creating typed DTOs from raw AST data. Common extractors: class name from node, FQCN resolution, method signature extraction.",Factory produces correct DTOs from AST nodes
"[Task] Write comprehensive tests for core",Task,P1-high,"type:test,phase:1-core,pkg:core",v0.1.0 — First Light,"Test Container (binding, resolution, singletons, tagged). Test Config (loading, merging, dot-notation). Test Pipeline (full flow). Test Parser (valid files, invalid files, caching). 90%+ coverage.","All tests pass, coverage > 90%"
"[Task] Write benchmarks for core",Task,P2-medium,"type:perf,phase:1-core,pkg:core",v0.1.0 — First Light,"Benchmark: Container resolution speed. Parser: files/second. Pipeline: end-to-end timing. Use PHPBench.",Benchmarks run and produce measurable baselines
"[Epic] Phase 2 — Scanner",Epic,P1-high,"type:epic,phase:2-scanner",v0.1.0 — First Light,"File and directory discovery. Returns ProjectContext. No parsing, only discovery.",Scanner discovers all Laravel project files correctly
"[Task] Implement directory walker with Symfony Finder",Task,P1-high,"type:task,phase:2-scanner,pkg:scanner",v0.1.0 — First Light,"Create DirectoryWalker using Symfony Finder. Lazy iteration. Walk configurable paths. Return FileReference objects.",Walker finds files efficiently with lazy loading
"[Task] Implement configurable scan paths",Task,P1-high,"type:task,phase:2-scanner,pkg:scanner",v0.1.0 — First Light,"Accept custom paths configuration. Default Laravel paths: app/, routes/, config/, database/, resources/, bootstrap/. Allow adding and removing paths.",Custom paths override defaults correctly
"[Task] Implement exclusion patterns",Task,P1-high,"type:task,phase:2-scanner,pkg:scanner",v0.1.0 — First Light,"Support glob-based exclusion: vendor/, node_modules/, storage/, .git/, tests/. Configurable via ScanConfig.",Excluded paths are never returned
"[Task] Implement file classification",Task,P1-high,"type:task,phase:2-scanner,pkg:scanner",v0.1.0 — First Light,"Classify discovered files by FileType based on path conventions: app/Http/Controllers/ → Controller, app/Models/ → Model, routes/ → Route, etc.",Files are correctly classified by type
"[Task] Implement framework detection",Task,P2-medium,"type:task,phase:2-scanner,pkg:scanner",v0.1.0 — First Light,"Detect if target directory is a Laravel project by checking: artisan file, composer.json with laravel/framework, app/ structure.",Laravel projects are detected correctly; non-Laravel returns warning
"[Task] Implement composer.json parser for project metadata",Task,P2-medium,"type:task,phase:2-scanner,pkg:scanner",v0.1.0 — First Light,"Read composer.json to extract: project name, PHP version requirement, Laravel version, autoload PSR-4 mappings.",Project metadata is correctly extracted
"[Task] Implement ProjectContext builder",Task,P1-high,"type:task,phase:2-scanner,pkg:scanner",v0.1.0 — First Light,"Assemble a complete ProjectContext from walker results + metadata. Include file counts per type, total file count.",ProjectContext contains all discovered files with correct metadata
"[Task] Write scanner tests with fixture projects",Task,P1-high,"type:test,phase:2-scanner,pkg:scanner",v0.1.0 — First Light,"Create fixture directories: minimal Laravel app, empty project, non-Laravel project, large project (generated). Test all scanner features. 90%+ coverage.",All tests pass with fixtures
"[Task] Write scanner benchmarks",Task,P2-medium,"type:perf,phase:2-scanner,pkg:scanner",v0.1.0 — First Light,"Benchmark files/second on 100, 500, 1000, 5000 file projects. Measure memory usage.",Benchmarks run with clear metrics
"[Epic] Phase 3 — Route Analyzer",Epic,P1-high,"type:epic,phase:3-routes",v0.1.0 — First Light,"First analyzer. Extract all route information from Laravel route files.",Routes are extracted with full metadata
"[Task] Implement RouteAnalyzer class",Task,P1-high,"type:task,phase:3-routes,pkg:analyzer-routes",v0.1.0 — First Light,"Create RouteAnalyzer implementing AnalyzerInterface. Parse route files from ProjectContext. Return AnalysisResult with Route nodes.","Class implements interface, processes route files"
"[Task] Extract basic routes (GET/POST/PUT/DELETE)",Task,P1-high,"type:task,phase:3-routes,pkg:analyzer-routes",v0.1.0 — First Light,"Parse Route::get(), Route::post(), Route::put(), Route::patch(), Route::delete(), Route::options(). Extract URI, method, name.",Basic routes are extracted with correct HTTP methods
"[Task] Extract controller routes",Task,P1-high,"type:task,phase:3-routes,pkg:analyzer-routes",v0.1.0 — First Light,"Parse Route::get('/users', [UserController::class, 'index']). Extract controller FQCN and action method. Generate Route→Controller edge.",Controller and action are correctly resolved
"[Task] Extract closure routes",Task,P1-high,"type:task,phase:3-routes,pkg:analyzer-routes",v0.1.0 — First Light,"Handle Route::get('/health', function() {...}). Mark as closure route (no controller). Extract URI and method.",Closure routes are captured without crash
"[Task] Extract resource routes",Task,P1-high,"type:task,phase:3-routes,pkg:analyzer-routes",v0.1.0 — First Light,"Parse Route::resource() and Route::apiResource(). Expand into individual routes (index, create, store, show, edit, update, destroy).",Resource routes expand to correct individual routes
"[Task] Extract route groups",Task,P1-high,"type:task,phase:3-routes,pkg:analyzer-routes",v0.1.0 — First Light,"Parse Route::group() and Route::prefix(). Resolve nested groups. Apply prefix, middleware, namespace, domain from group to child routes.",Group attributes correctly propagate to child routes
